Mouse Hareket Etti - X: 409, Y: 382, Zaman: 143 ms
Mouse Hareket Etti - X: 885, Y: 393, Zaman: 516 ms
Mouse Hareket Etti - X: 885, Y: 392, Zaman: 517 ms
Mouse Hareket Etti - X: 886, Y: 392, Zaman: 518 ms
Mouse Hareket Etti - X: 887, Y: 391, Zaman: 521 ms
Mouse Hareket Etti - X: 888, Y: 391, Zaman: 527 ms
Mouse Hareket Etti - X: 889, Y: 390, Zaman: 533 ms
Mouse Hareket Etti - X: 890, Y: 390, Zaman: 537 ms
Mouse Hareket Etti - X: 891, Y: 390, Zaman: 545 ms
Mouse Hareket Etti - X: 891, Y: 389, Zaman: 546 ms
Mouse Hareket Etti - X: 892, Y: 389, Zaman: 552 ms
Mouse Hareket Etti - X: 892, Y: 388, Zaman: 556 ms
Mouse Hareket Etti - X: 893, Y: 388, Zaman: 560 ms
Mouse Hareket Etti - X: 893, Y: 387, Zaman: 561 ms
Mouse Hareket Etti - X: 894, Y: 387, Zaman: 565 ms
Mouse Hareket Etti - X: 895, Y: 387, Zaman: 568 ms
Mouse Hareket Etti - X: 895, Y: 386, Zaman: 570 ms
Mouse Hareket Etti - X: 896, Y: 386, Zaman: 574 ms
Mouse Hareket Etti - X: 896, Y: 385, Zaman: 579 ms
Mouse Hareket Etti - X: 897, Y: 385, Zaman: 580 ms
Mouse Hareket Etti - X: 898, Y: 385, Zaman: 587 ms
Mouse Hareket Etti - X: 898, Y: 384, Zaman: 591 ms
Mouse Hareket Etti - X: 899, Y: 384, Zaman: 593 ms
Mouse Hareket Etti - X: 899, Y: 383, Zaman: 598 ms
Mouse Hareket Etti - X: 900, Y: 383, Zaman: 604 ms
Mouse Hareket Etti - X: 900, Y: 382, Zaman: 609 ms
Mouse Hareket Etti - X: 901, Y: 382, Zaman: 612 ms
Mouse Hareket Etti - X: 901, Y: 381, Zaman: 616 ms
Mouse Hareket Etti - X: 902, Y: 381, Zaman: 618 ms
Mouse Hareket Etti - X: 903, Y: 381, Zaman: 620 ms
Mouse Hareket Etti - X: 903, Y: 380, Zaman: 622 ms
Mouse Hareket Etti - X: 903, Y: 379, Zaman: 625 ms
Mouse Hareket Etti - X: 904, Y: 379, Zaman: 626 ms
Mouse Hareket Etti - X: 905, Y: 379, Zaman: 632 ms
Mouse Hareket Etti - X: 905, Y: 378, Zaman: 633 ms
Mouse Hareket Etti - X: 906, Y: 378, Zaman: 637 ms
Mouse Hareket Etti - X: 907, Y: 378, Zaman: 639 ms
Mouse Hareket Etti - X: 907, Y: 377, Zaman: 641 ms
Mouse Hareket Etti - X: 908, Y: 377, Zaman: 644 ms
Mouse Hareket Etti - X: 908, Y: 376, Zaman: 648 ms
Mouse Hareket Etti - X: 909, Y: 376, Zaman: 649 ms
Mouse Hareket Etti - X: 909, Y: 375, Zaman: 651 ms
Mouse Hareket Etti - X: 910, Y: 375, Zaman: 653 ms
Mouse Hareket Etti - X: 911, Y: 375, Zaman: 655 ms
Mouse Hareket Etti - X: 911, Y: 374, Zaman: 657 ms
Mouse Hareket Etti - X: 912, Y: 374, Zaman: 658 ms
Mouse Hareket Etti - X: 913, Y: 374, Zaman: 661 ms
Mouse Hareket Etti - X: 913, Y: 373, Zaman: 663 ms
Mouse Hareket Etti - X: 914, Y: 373, Zaman: 665 ms
Mouse Hareket Etti - X: 915, Y: 373, Zaman: 666 ms
Mouse Hareket Etti - X: 916, Y: 372, Zaman: 669 ms
Mouse Hareket Etti - X: 917, Y: 371, Zaman: 672 ms
Mouse Hareket Etti - X: 918, Y: 371, Zaman: 675 ms
Mouse Hareket Etti - X: 919, Y: 371, Zaman: 676 ms
Mouse Hareket Etti - X: 919, Y: 370, Zaman: 677 ms
Mouse Hareket Etti - X: 920, Y: 370, Zaman: 679 ms
Mouse Hareket Etti - X: 921, Y: 370, Zaman: 681 ms
Mouse Hareket Etti - X: 921, Y: 369, Zaman: 683 ms
Mouse Hareket Etti - X: 922, Y: 369, Zaman: 684 ms
Mouse Hareket Etti - X: 923, Y: 369, Zaman: 685 ms
Mouse Hareket Etti - X: 924, Y: 369, Zaman: 687 ms
Mouse Hareket Etti - X: 925, Y: 368, Zaman: 690 ms
Mouse Hareket Etti - X: 926, Y: 367, Zaman: 692 ms
Mouse Hareket Etti - X: 927, Y: 367, Zaman: 694 ms
Mouse Hareket Etti - X: 928, Y: 367, Zaman: 695 ms
Mouse Hareket Etti - X: 929, Y: 367, Zaman: 697 ms
Mouse Hareket Etti - X: 930, Y: 366, Zaman: 699 ms
Mouse Hareket Etti - X: 931, Y: 366, Zaman: 701 ms
Mouse Hareket Etti - X: 932, Y: 366, Zaman: 702 ms
Mouse Hareket Etti - X: 933, Y: 366, Zaman: 705 ms
Mouse Hareket Etti - X: 934, Y: 365, Zaman: 707 ms
Mouse Hareket Etti - X: 935, Y: 365, Zaman: 709 ms
Mouse Hareket Etti - X: 936, Y: 365, Zaman: 710 ms
Mouse Hareket Etti - X: 937, Y: 365, Zaman: 712 ms
Mouse Hareket Etti - X: 937, Y: 364, Zaman: 713 ms
Mouse Hareket Etti - X: 938, Y: 364, Zaman: 714 ms
Mouse Hareket Etti - X: 938, Y: 363, Zaman: 715 ms
Mouse Hareket Etti - X: 939, Y: 363, Zaman: 716 ms
Mouse Hareket Etti - X: 940, Y: 363, Zaman: 717 ms
Mouse Hareket Etti - X: 941, Y: 363, Zaman: 719 ms
Mouse Hareket Etti - X: 942, Y: 362, Zaman: 721 ms
Mouse Hareket Etti - X: 943, Y: 362, Zaman: 723 ms
Mouse Hareket Etti - X: 944, Y: 362, Zaman: 724 ms
Mouse Hareket Etti - X: 945, Y: 361, Zaman: 726 ms
Mouse Hareket Etti - X: 946, Y: 361, Zaman: 728 ms
Mouse Hareket Etti - X: 947, Y: 361, Zaman: 729 ms
Mouse Hareket Etti - X: 948, Y: 361, Zaman: 730 ms
Mouse Hareket Etti - X: 949, Y: 360, Zaman: 732 ms
Mouse Hareket Etti - X: 950, Y: 360, Zaman: 734 ms
Mouse Hareket Etti - X: 951, Y: 359, Zaman: 735 ms
Mouse Hareket Etti - X: 952, Y: 359, Zaman: 737 ms
Mouse Hareket Etti - X: 953, Y: 359, Zaman: 739 ms
Mouse Hareket Etti - X: 954, Y: 359, Zaman: 740 ms
Mouse Hareket Etti - X: 955, Y: 359, Zaman: 741 ms
Mouse Hareket Etti - X: 955, Y: 358, Zaman: 742 ms
Mouse Hareket Etti - X: 956, Y: 358, Zaman: 743 ms
Mouse Hareket Etti - X: 957, Y: 358, Zaman: 745 ms
Mouse Hareket Etti - X: 958, Y: 358, Zaman: 746 ms
Mouse Hareket Etti - X: 959, Y: 358, Zaman: 747 ms
Mouse Hareket Etti - X: 960, Y: 358, Zaman: 749 ms
Mouse Hareket Etti - X: 960, Y: 357, Zaman: 750 ms
Mouse Hareket Etti - X: 961, Y: 357, Zaman: 751 ms
Mouse Hareket Etti - X: 963, Y: 356, Zaman: 753 ms
Mouse Hareket Etti - X: 964, Y: 356, Zaman: 755 ms
Mouse Hareket Etti - X: 965, Y: 356, Zaman: 757 ms
Mouse Hareket Etti - X: 966, Y: 356, Zaman: 758 ms
Mouse Hareket Etti - X: 967, Y: 355, Zaman: 760 ms
Mouse Hareket Etti - X: 968, Y: 355, Zaman: 762 ms
Mouse Hareket Etti - X: 970, Y: 355, Zaman: 764 ms
Mouse Hareket Etti - X: 971, Y: 355, Zaman: 766 ms
Mouse Hareket Etti - X: 972, Y: 354, Zaman: 768 ms
Mouse Hareket Etti - X: 973, Y: 354, Zaman: 769 ms
Mouse Hareket Etti - X: 974, Y: 354, Zaman: 772 ms
Mouse Hareket Etti - X: 975, Y: 354, Zaman: 774 ms
Mouse Hareket Etti - X: 976, Y: 353, Zaman: 776 ms
Mouse Hareket Etti - X: 977, Y: 353, Zaman: 778 ms
Mouse Hareket Etti - X: 978, Y: 352, Zaman: 781 ms
Mouse Hareket Etti - X: 979, Y: 352, Zaman: 785 ms
Mouse Hareket Etti - X: 980, Y: 352, Zaman: 790 ms
Mouse Hareket Etti - X: 980, Y: 351, Zaman: 791 ms
Mouse Hareket Etti - X: 981, Y: 351, Zaman: 797 ms
Mouse Hareket Etti - X: 982, Y: 351, Zaman: 805 ms
Mouse Hareket Etti - X: 982, Y: 350, Zaman: 806 ms
Mouse Hareket Etti - X: 981, Y: 350, Zaman: 24834 ms
Mouse Hareket Etti - X: 981, Y: 349, Zaman: 24835 ms
Mouse Hareket Etti - X: 980, Y: 349, Zaman: 24836 ms
Mouse Hareket Etti - X: 979, Y: 348, Zaman: 24837 ms
Mouse Hareket Etti - X: 979, Y: 347, Zaman: 24838 ms
Mouse Hareket Etti - X: 978, Y: 347, Zaman: 24839 ms
Mouse Hareket Etti - X: 977, Y: 345, Zaman: 24840 ms
Mouse Hareket Etti - X: 976, Y: 345, Zaman: 24841 ms
Mouse Hareket Etti - X: 975, Y: 344, Zaman: 24842 ms
Mouse Hareket Etti - X: 974, Y: 342, Zaman: 24843 ms
Mouse Hareket Etti - X: 973, Y: 341, Zaman: 24844 ms
Mouse Hareket Etti - X: 973, Y: 339, Zaman: 24845 ms
Mouse Hareket Etti - X: 972, Y: 338, Zaman: 24846 ms
Mouse Hareket Etti - X: 971, Y: 337, Zaman: 24847 ms
Mouse Hareket Etti - X: 970, Y: 335, Zaman: 24848 ms
Mouse Hareket Etti - X: 968, Y: 334, Zaman: 24849 ms
Mouse Hareket Etti - X: 968, Y: 332, Zaman: 24850 ms
Mouse Hareket Etti - X: 967, Y: 331, Zaman: 24851 ms
Mouse Hareket Etti - X: 966, Y: 330, Zaman: 24852 ms
Mouse Hareket Etti - X: 964, Y: 329, Zaman: 24853 ms
Mouse Hareket Etti - X: 964, Y: 328, Zaman: 24854 ms
Mouse Hareket Etti - X: 963, Y: 326, Zaman: 24855 ms
Mouse Hareket Etti - X: 962, Y: 325, Zaman: 24856 ms
Mouse Hareket Etti - X: 960, Y: 324, Zaman: 24857 ms
Mouse Hareket Etti - X: 959, Y: 323, Zaman: 24858 ms
Mouse Hareket Etti - X: 958, Y: 322, Zaman: 24859 ms
Mouse Hareket Etti - X: 957, Y: 321, Zaman: 24860 ms
Mouse Hareket Etti - X: 955, Y: 319, Zaman: 24861 ms
Mouse Hareket Etti - X: 954, Y: 319, Zaman: 24862 ms
Mouse Hareket Etti - X: 953, Y: 318, Zaman: 24863 ms
Mouse Hareket Etti - X: 952, Y: 317, Zaman: 24864 ms
Mouse Hareket Etti - X: 951, Y: 315, Zaman: 24865 ms
Mouse Hareket Etti - X: 950, Y: 315, Zaman: 24866 ms
Mouse Hareket Etti - X: 949, Y: 313, Zaman: 24867 ms
Mouse Hareket Etti - X: 947, Y: 313, Zaman: 24868 ms
Mouse Hareket Etti - X: 946, Y: 311, Zaman: 24869 ms
Mouse Hareket Etti - X: 944, Y: 310, Zaman: 24870 ms
Mouse Hareket Etti - X: 943, Y: 309, Zaman: 24871 ms
Mouse Hareket Etti - X: 942, Y: 308, Zaman: 24872 ms
Mouse Hareket Etti - X: 940, Y: 307, Zaman: 24873 ms
Mouse Hareket Etti - X: 938, Y: 305, Zaman: 24874 ms
Mouse Hareket Etti - X: 937, Y: 305, Zaman: 24875 ms
Mouse Hareket Etti - X: 935, Y: 304, Zaman: 24876 ms
Mouse Hareket Etti - X: 934, Y: 303, Zaman: 24877 ms
Mouse Hareket Etti - X: 933, Y: 302, Zaman: 24878 ms
Mouse Hareket Etti - X: 931, Y: 301, Zaman: 24879 ms
Mouse Hareket Etti - X: 929, Y: 300, Zaman: 24880 ms
Mouse Hareket Etti - X: 928, Y: 298, Zaman: 24881 ms
Mouse Hareket Etti - X: 925, Y: 298, Zaman: 24882 ms
Mouse Hareket Etti - X: 923, Y: 296, Zaman: 24883 ms
Mouse Hareket Etti - X: 922, Y: 296, Zaman: 24884 ms
Mouse Hareket Etti - X: 920, Y: 295, Zaman: 24885 ms
Mouse Hareket Etti - X: 917, Y: 293, Zaman: 24886 ms
Mouse Hareket Etti - X: 916, Y: 293, Zaman: 24887 ms
Mouse Hareket Etti - X: 913, Y: 292, Zaman: 24888 ms
Mouse Hareket Etti - X: 911, Y: 291, Zaman: 24889 ms
Mouse Hareket Etti - X: 909, Y: 290, Zaman: 24890 ms
Mouse Hareket Etti - X: 906, Y: 289, Zaman: 24891 ms
Mouse Hareket Etti - X: 904, Y: 288, Zaman: 24892 ms
Mouse Hareket Etti - X: 902, Y: 288, Zaman: 24893 ms
Mouse Hareket Etti - X: 900, Y: 287, Zaman: 24894 ms
Mouse Hareket Etti - X: 897, Y: 286, Zaman: 24895 ms
Mouse Hareket Etti - X: 894, Y: 285, Zaman: 24896 ms
Mouse Hareket Etti - X: 892, Y: 285, Zaman: 24897 ms
Mouse Hareket Etti - X: 890, Y: 284, Zaman: 24898 ms
Mouse Hareket Etti - X: 887, Y: 283, Zaman: 24899 ms
Mouse Hareket Etti - X: 885, Y: 282, Zaman: 24900 ms
Mouse Hareket Etti - X: 882, Y: 282, Zaman: 24901 ms
Mouse Hareket Etti - X: 879, Y: 282, Zaman: 24902 ms
Mouse Hareket Etti - X: 876, Y: 281, Zaman: 24903 ms
Mouse Hareket Etti - X: 873, Y: 280, Zaman: 24904 ms
Mouse Hareket Etti - X: 871, Y: 280, Zaman: 24905 ms
Mouse Hareket Etti - X: 868, Y: 279, Zaman: 24906 ms
Mouse Hareket Etti - X: 865, Y: 279, Zaman: 24907 ms
Mouse Hareket Etti - X: 863, Y: 279, Zaman: 24908 ms
Mouse Hareket Etti - X: 859, Y: 279, Zaman: 24909 ms
Mouse Hareket Etti - X: 857, Y: 278, Zaman: 24910 ms
Mouse Hareket Etti - X: 854, Y: 278, Zaman: 24911 ms
Mouse Hareket Etti - X: 851, Y: 277, Zaman: 24912 ms
Mouse Hareket Etti - X: 849, Y: 277, Zaman: 24913 ms
Mouse Hareket Etti - X: 846, Y: 276, Zaman: 24914 ms
Mouse Hareket Etti - X: 843, Y: 276, Zaman: 24915 ms
Mouse Hareket Etti - X: 840, Y: 276, Zaman: 24916 ms
Mouse Hareket Etti - X: 837, Y: 276, Zaman: 24917 ms
Mouse Hareket Etti - X: 834, Y: 275, Zaman: 24918 ms
Mouse Hareket Etti - X: 832, Y: 275, Zaman: 24919 ms
Mouse Hareket Etti - X: 829, Y: 274, Zaman: 24920 ms
Mouse Hareket Etti - X: 826, Y: 274, Zaman: 24921 ms
Mouse Hareket Etti - X: 824, Y: 273, Zaman: 24922 ms
Mouse Hareket Etti - X: 821, Y: 273, Zaman: 24923 ms
Mouse Hareket Etti - X: 819, Y: 273, Zaman: 24924 ms
Mouse Hareket Etti - X: 817, Y: 273, Zaman: 24925 ms
Mouse Hareket Etti - X: 814, Y: 273, Zaman: 24926 ms
Mouse Hareket Etti - X: 812, Y: 272, Zaman: 24927 ms
Mouse Hareket Etti - X: 809, Y: 272, Zaman: 24928 ms
Mouse Hareket Etti - X: 807, Y: 272, Zaman: 24929 ms
Mouse Hareket Etti - X: 806, Y: 271, Zaman: 24930 ms
Mouse Hareket Etti - X: 803, Y: 271, Zaman: 24931 ms
Mouse Hareket Etti - X: 801, Y: 271, Zaman: 24932 ms
Mouse Hareket Etti - X: 798, Y: 271, Zaman: 24933 ms
Mouse Hareket Etti - X: 797, Y: 271, Zaman: 24934 ms
Mouse Hareket Etti - X: 795, Y: 271, Zaman: 24935 ms
Mouse Hareket Etti - X: 793, Y: 271, Zaman: 24936 ms
Mouse Hareket Etti - X: 791, Y: 271, Zaman: 24937 ms
Mouse Hareket Etti - X: 789, Y: 271, Zaman: 24938 ms
Mouse Hareket Etti - X: 787, Y: 271, Zaman: 24939 ms
Mouse Hareket Etti - X: 785, Y: 271, Zaman: 24940 ms
Mouse Hareket Etti - X: 784, Y: 271, Zaman: 24941 ms
Mouse Hareket Etti - X: 782, Y: 271, Zaman: 24942 ms
Mouse Hareket Etti - X: 781, Y: 271, Zaman: 24943 ms
Mouse Hareket Etti - X: 778, Y: 271, Zaman: 24944 ms
Mouse Hareket Etti - X: 777, Y: 271, Zaman: 24945 ms
Mouse Hareket Etti - X: 776, Y: 271, Zaman: 24946 ms
Mouse Hareket Etti - X: 774, Y: 271, Zaman: 24947 ms
Mouse Hareket Etti - X: 773, Y: 271, Zaman: 24948 ms
Mouse Hareket Etti - X: 771, Y: 271, Zaman: 24949 ms
Mouse Hareket Etti - X: 770, Y: 271, Zaman: 24950 ms
Mouse Hareket Etti - X: 769, Y: 271, Zaman: 24951 ms
Mouse Hareket Etti - X: 767, Y: 271, Zaman: 24952 ms
Mouse Hareket Etti - X: 766, Y: 271, Zaman: 24954 ms
Mouse Hareket Etti - X: 764, Y: 271, Zaman: 24955 ms
Mouse Hareket Etti - X: 763, Y: 272, Zaman: 24956 ms
Mouse Hareket Etti - X: 762, Y: 272, Zaman: 24957 ms
Mouse Hareket Etti - X: 761, Y: 272, Zaman: 24958 ms
Mouse Hareket Etti - X: 759, Y: 273, Zaman: 24960 ms
Mouse Hareket Etti - X: 758, Y: 273, Zaman: 24962 ms
Mouse Hareket Etti - X: 757, Y: 273, Zaman: 24963 ms
Mouse Hareket Etti - X: 756, Y: 273, Zaman: 24964 ms
Mouse Hareket Etti - X: 755, Y: 273, Zaman: 24966 ms
Mouse Hareket Etti - X: 754, Y: 274, Zaman: 24968 ms
Mouse Hareket Etti - X: 753, Y: 274, Zaman: 24970 ms
Mouse Hareket Etti - X: 752, Y: 274, Zaman: 24971 ms
Mouse Hareket Etti - X: 751, Y: 274, Zaman: 24973 ms
Mouse Hareket Etti - X: 750, Y: 274, Zaman: 24976 ms
Mouse Hareket Etti - X: 750, Y: 275, Zaman: 24977 ms
Mouse Hareket Etti - X: 749, Y: 275, Zaman: 24979 ms
Mouse Hareket Etti - X: 748, Y: 275, Zaman: 24980 ms
Mouse Hareket Etti - X: 748, Y: 276, Zaman: 24982 ms
Mouse Hareket Etti - X: 747, Y: 276, Zaman: 24985 ms
Mouse Hareket Etti - X: 747, Y: 277, Zaman: 24995 ms
Mouse Hareket Etti - X: 748, Y: 277, Zaman: 24998 ms
Mouse Hareket Etti - X: 749, Y: 278, Zaman: 24999 ms
Mouse Hareket Etti - X: 750, Y: 278, Zaman: 25001 ms
Mouse Hareket Etti - X: 750, Y: 279, Zaman: 25002 ms
Mouse Hareket Etti - X: 752, Y: 280, Zaman: 25003 ms
Mouse Hareket Etti - X: 753, Y: 280, Zaman: 25005 ms
Mouse Hareket Etti - X: 754, Y: 282, Zaman: 25006 ms
Mouse Hareket Etti - X: 755, Y: 282, Zaman: 25007 ms
Mouse Hareket Etti - X: 756, Y: 283, Zaman: 25008 ms
Mouse Hareket Etti - X: 757, Y: 283, Zaman: 25009 ms
Mouse Hareket Etti - X: 759, Y: 284, Zaman: 25010 ms
Mouse Hareket Etti - X: 760, Y: 285, Zaman: 25011 ms
Mouse Hareket Etti - X: 761, Y: 286, Zaman: 25012 ms
Mouse Hareket Etti - X: 762, Y: 287, Zaman: 25013 ms
Mouse Hareket Etti - X: 763, Y: 289, Zaman: 25014 ms
Mouse Hareket Etti - X: 765, Y: 289, Zaman: 25015 ms
Mouse Hareket Etti - X: 766, Y: 291, Zaman: 25016 ms
Mouse Hareket Etti - X: 767, Y: 292, Zaman: 25017 ms
Mouse Hareket Etti - X: 768, Y: 294, Zaman: 25018 ms
Mouse Hareket Etti - X: 770, Y: 295, Zaman: 25019 ms
Mouse Hareket Etti - X: 771, Y: 296, Zaman: 25020 ms
Mouse Hareket Etti - X: 772, Y: 297, Zaman: 25021 ms
Mouse Hareket Etti - X: 774, Y: 298, Zaman: 25022 ms
Mouse Hareket Etti - X: 775, Y: 299, Zaman: 25023 ms
Mouse Hareket Etti - X: 776, Y: 300, Zaman: 25024 ms
Mouse Hareket Etti - X: 777, Y: 302, Zaman: 25025 ms
Mouse Hareket Etti - X: 779, Y: 303, Zaman: 25026 ms
Mouse Hareket Etti - X: 779, Y: 305, Zaman: 25027 ms
Mouse Hareket Etti - X: 780, Y: 305, Zaman: 25028 ms
Mouse Hareket Etti - X: 781, Y: 307, Zaman: 25029 ms
Mouse Hareket Etti - X: 782, Y: 308, Zaman: 25030 ms
Mouse Hareket Etti - X: 783, Y: 310, Zaman: 25032 ms
Mouse Hareket Etti - X: 784, Y: 311, Zaman: 25033 ms
Mouse Hareket Etti - X: 784, Y: 312, Zaman: 25034 ms
Mouse Hareket Etti - X: 785, Y: 312, Zaman: 25035 ms
Mouse Hareket Etti - X: 785, Y: 313, Zaman: 25036 ms
Mouse Hareket Etti - X: 786, Y: 315, Zaman: 25038 ms
Mouse Hareket Etti - X: 787, Y: 316, Zaman: 25040 ms
Mouse Hareket Etti - X: 787, Y: 317, Zaman: 25043 ms
Mouse Hareket Etti - X: 788, Y: 318, Zaman: 25047 ms
Mouse Hareket Etti - X: 788, Y: 319, Zaman: 25049 ms
Mouse Hareket Etti - X: 788, Y: 320, Zaman: 25058 ms
Mouse Hareket Etti - X: 788, Y: 321, Zaman: 25065 ms
Mouse Hareket Etti - X: 788, Y: 322, Zaman: 25073 ms
Mouse Hareket Etti - X: 788, Y: 323, Zaman: 25076 ms
Mouse Hareket Etti - X: 788, Y: 324, Zaman: 25083 ms
Mouse Hareket Etti - X: 789, Y: 324, Zaman: 25085 ms
Mouse Hareket Etti - X: 789, Y: 325, Zaman: 25090 ms
Mouse Hareket Etti - X: 789, Y: 326, Zaman: 25096 ms
Mouse Hareket Etti - X: 789, Y: 327, Zaman: 25098 ms
Mouse Hareket Etti - X: 789, Y: 328, Zaman: 25103 ms
Mouse Hareket Etti - X: 789, Y: 329, Zaman: 25106 ms
Mouse Hareket Etti - X: 789, Y: 330, Zaman: 25110 ms
Mouse Hareket Etti - X: 408, Y: 361, Zaman: 192 ms
Mouse Hareket Etti - X: 411, Y: 360, Zaman: 195 ms
Mouse Hareket Etti - X: 413, Y: 360, Zaman: 196 ms
Mouse Hareket Etti - X: 414, Y: 360, Zaman: 197 ms
Mouse Hareket Etti - X: 415, Y: 360, Zaman: 198 ms
Mouse Hareket Etti - X: 416, Y: 359, Zaman: 199 ms
Mouse Hareket Etti - X: 417, Y: 359, Zaman: 200 ms
Mouse Hareket Etti - X: 418, Y: 358, Zaman: 201 ms
Mouse Hareket Etti - X: 420, Y: 358, Zaman: 202 ms
Mouse Hareket Etti - X: 421, Y: 358, Zaman: 203 ms
Mouse Hareket Etti - X: 422, Y: 358, Zaman: 204 ms
Mouse Hareket Etti - X: 425, Y: 358, Zaman: 205 ms
Mouse Hareket Etti - X: 425, Y: 357, Zaman: 206 ms
Mouse Hareket Etti - X: 427, Y: 357, Zaman: 207 ms
Mouse Hareket Etti - X: 428, Y: 357, Zaman: 208 ms
Mouse Hareket Etti - X: 430, Y: 357, Zaman: 209 ms
Mouse Hareket Etti - X: 432, Y: 357, Zaman: 210 ms
Mouse Hareket Etti - X: 433, Y: 356, Zaman: 211 ms
Mouse Hareket Etti - X: 434, Y: 356, Zaman: 212 ms
Mouse Hareket Etti - X: 437, Y: 355, Zaman: 213 ms
Mouse Hareket Etti - X: 439, Y: 355, Zaman: 214 ms
Mouse Hareket Etti - X: 441, Y: 355, Zaman: 215 ms
Mouse Hareket Etti - X: 442, Y: 354, Zaman: 216 ms
Mouse Hareket Etti - X: 444, Y: 354, Zaman: 217 ms
Mouse Hareket Etti - X: 447, Y: 354, Zaman: 218 ms
Mouse Hareket Etti - X: 448, Y: 354, Zaman: 219 ms
Mouse Hareket Etti - X: 451, Y: 354, Zaman: 220 ms
Mouse Hareket Etti - X: 453, Y: 354, Zaman: 221 ms
Mouse Hareket Etti - X: 454, Y: 353, Zaman: 222 ms
Mouse Hareket Etti - X: 457, Y: 353, Zaman: 223 ms
Mouse Hareket Etti - X: 460, Y: 352, Zaman: 224 ms
Mouse Hareket Etti - X: 462, Y: 352, Zaman: 225 ms
Mouse Hareket Etti - X: 465, Y: 352, Zaman: 226 ms
Mouse Hareket Etti - X: 467, Y: 352, Zaman: 227 ms
Mouse Hareket Etti - X: 469, Y: 352, Zaman: 228 ms
Mouse Hareket Etti - X: 472, Y: 351, Zaman: 229 ms
Mouse Hareket Etti - X: 474, Y: 351, Zaman: 230 ms
Mouse Hareket Etti - X: 477, Y: 350, Zaman: 231 ms
Mouse Hareket Etti - X: 479, Y: 350, Zaman: 232 ms
Mouse Hareket Etti - X: 483, Y: 349, Zaman: 233 ms
Mouse Hareket Etti - X: 487, Y: 349, Zaman: 234 ms
Mouse Hareket Etti - X: 489, Y: 349, Zaman: 235 ms
Mouse Hareket Etti - X: 492, Y: 349, Zaman: 236 ms
Mouse Hareket Etti - X: 495, Y: 348, Zaman: 237 ms
Mouse Hareket Etti - X: 499, Y: 348, Zaman: 238 ms
Mouse Hareket Etti - X: 502, Y: 347, Zaman: 239 ms
Mouse Hareket Etti - X: 505, Y: 346, Zaman: 240 ms
Mouse Hareket Etti - X: 508, Y: 346, Zaman: 241 ms
Mouse Hareket Etti - X: 512, Y: 345, Zaman: 242 ms
Mouse Hareket Etti - X: 515, Y: 345, Zaman: 243 ms
Mouse Hareket Etti - X: 518, Y: 345, Zaman: 244 ms
Mouse Hareket Etti - X: 524, Y: 344, Zaman: 245 ms
Mouse Hareket Etti - X: 527, Y: 344, Zaman: 246 ms
Mouse Hareket Etti - X: 531, Y: 343, Zaman: 247 ms
Mouse Hareket Etti - X: 535, Y: 342, Zaman: 248 ms
Mouse Hareket Etti - X: 540, Y: 341, Zaman: 249 ms
Mouse Hareket Etti - X: 544, Y: 341, Zaman: 250 ms
Mouse Hareket Etti - X: 548, Y: 340, Zaman: 251 ms
Mouse Hareket Etti - X: 553, Y: 339, Zaman: 252 ms
Mouse Hareket Etti - X: 557, Y: 339, Zaman: 253 ms
Mouse Hareket Etti - X: 561, Y: 338, Zaman: 254 ms
Mouse Hareket Etti - X: 565, Y: 338, Zaman: 255 ms
Mouse Hareket Etti - X: 571, Y: 337, Zaman: 256 ms
Mouse Hareket Etti - X: 575, Y: 336, Zaman: 257 ms
Mouse Hareket Etti - X: 581, Y: 335, Zaman: 258 ms
Mouse Hareket Etti - X: 584, Y: 334, Zaman: 259 ms
Mouse Hareket Etti - X: 588, Y: 333, Zaman: 260 ms
Mouse Hareket Etti - X: 595, Y: 333, Zaman: 261 ms
Mouse Hareket Etti - X: 599, Y: 332, Zaman: 262 ms
Mouse Hareket Etti - X: 604, Y: 332, Zaman: 263 ms
Mouse Hareket Etti - X: 614, Y: 330, Zaman: 265 ms
Mouse Hareket Etti - X: 621, Y: 329, Zaman: 266 ms
Mouse Hareket Etti - X: 625, Y: 328, Zaman: 267 ms
Mouse Hareket Etti - X: 629, Y: 328, Zaman: 268 ms
Mouse Hareket Etti - X: 635, Y: 327, Zaman: 269 ms
Mouse Hareket Etti - X: 640, Y: 326, Zaman: 270 ms
Mouse Hareket Etti - X: 646, Y: 325, Zaman: 271 ms
Mouse Hareket Etti - X: 650, Y: 324, Zaman: 272 ms
Mouse Hareket Etti - X: 655, Y: 323, Zaman: 273 ms
Mouse Hareket Etti - X: 661, Y: 322, Zaman: 274 ms
Mouse Hareket Etti - X: 666, Y: 322, Zaman: 275 ms
Mouse Hareket Etti - X: 671, Y: 321, Zaman: 276 ms
Mouse Hareket Etti - X: 677, Y: 321, Zaman: 277 ms
Mouse Hareket Etti - X: 682, Y: 320, Zaman: 278 ms
Mouse Hareket Etti - X: 687, Y: 319, Zaman: 279 ms
Mouse Hareket Etti - X: 694, Y: 318, Zaman: 280 ms
Mouse Hareket Etti - X: 698, Y: 318, Zaman: 281 ms
Mouse Hareket Etti - X: 705, Y: 316, Zaman: 282 ms
Mouse Hareket Etti - X: 710, Y: 315, Zaman: 283 ms
Mouse Hareket Etti - X: 714, Y: 315, Zaman: 284 ms
